epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,14285,1.46711,0.60236,0.00118,0.87715,0.74873,0.80213,0.47781,1.7207,0.80897,0.0027,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14522.1,1.45753,0.59702,0.0012,0.87602,0.75329,0.80895,0.47994,1.72117,0.8051,0.00273,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14765.1,1.44927,0.60081,0.00116,0.86428,0.75805,0.80652,0.47924,1.70769,0.81831,0.00265,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15007.9,1.44469,0.59245,0.00118,0.87337,0.75928,0.80528,0.48054,1.7097,0.81071,0.00265,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15243.7,1.43794,0.58217,0.00116,0.88791,0.74935,0.80318,0.47687,1.72139,0.81603,0.0027,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,15481.1,1.42593,0.58851,0.00116,0.87748,0.75746,0.80413,0.47767,1.72192,0.81965,0.00268,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15717.8,1.42395,0.5872,0.00115,0.87359,0.74879,0.80049,0.47388,1.72441,0.81525,0.00268,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15949.7,1.41041,0.57279,0.00114,0.87554,0.75371,0.80368,0.47641,1.72014,0.80485,0.00268,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16185.9,1.40982,0.57569,0.00112,0.86802,0.76294,0.80857,0.47555,1.71951,0.80623,0.00267,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,16420.8,1.40883,0.57077,0.00112,0.86592,0.75647,0.80219,0.47479,1.72291,0.82256,0.00268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16654.8,1.39044,0.56723,0.00111,0.85569,0.74449,0.79244,0.47047,1.72685,0.84799,0.0027,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16892.5,1.39286,0.56613,0.0011,0.85743,0.74543,0.79269,0.47291,1.72385,0.84954,0.00272,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17126.9,1.38083,0.565,0.0011,0.86853,0.74571,0.79507,0.47504,1.72495,0.85043,0.0027,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,17362.5,1.37993,0.55596,0.00109,0.86789,0.74983,0.80064,0.47501,1.72921,0.83759,0.00273,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,17599.5,1.37966,0.56427,0.00109,0.86608,0.7477,0.79672,0.47496,1.73043,0.82705,0.00272,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17834.6,1.36175,0.55325,0.00109,0.86322,0.74945,0.79495,0.47364,1.72864,0.82682,0.00271,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,18067.5,1.36903,0.55697,0.00109,0.87816,0.74265,0.79466,0.4742,1.73051,0.8255,0.00272,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,18302.5,1.35804,0.55705,0.00108,0.86972,0.7452,0.79355,0.47583,1.73279,0.82556,0.00272,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,18536.7,1.34744,0.55513,0.00106,0.8732,0.74662,0.79496,0.47489,1.73073,0.82607,0.00272,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18773.7,1.34954,0.55386,0.00107,0.86861,0.75176,0.79734,0.47522,1.73006,0.83148,0.00269,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,19008.5,1.33575,0.54231,0.00105,0.87347,0.74917,0.7975,0.47522,1.73005,0.83093,0.00267,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,19241.8,1.32756,0.53928,0.00105,0.87844,0.74522,0.79787,0.47455,1.73343,0.83415,0.00268,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,19479.3,1.32658,0.54107,0.00104,0.8828,0.74387,0.798,0.47654,1.73107,0.83564,0.00267,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,19724.4,1.3213,0.53905,0.00103,0.88389,0.7417,0.79612,0.47764,1.73098,0.83462,0.00267,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19966.2,1.30707,0.53588,0.00102,0.87491,0.7398,0.79513,0.477,1.73091,0.83957,0.00267,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,20200.5,1.30665,0.5305,0.001,0.88187,0.73805,0.79441,0.47664,1.73206,0.83899,0.00267,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,20435.8,1.30303,0.52487,0.00101,0.87042,0.74679,0.79624,0.47669,1.73284,0.83956,0.00268,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,20673.2,1.29523,0.52711,0.00101,0.87502,0.74684,0.79655,0.4766,1.73319,0.83825,0.00268,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,20907.6,1.29376,0.52763,0.001,0.88366,0.74572,0.79846,0.47675,1.73213,0.84052,0.00268,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,21141.7,1.28594,0.52233,0.00099,0.88054,0.74639,0.79882,0.47687,1.73311,0.83932,0.00267,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,21373.6,1.27243,0.51969,0.00099,0.88303,0.7479,0.8,0.47797,1.73444,0.83643,0.00267,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,21607.8,1.22961,0.49212,0.00104,0.87161,0.74954,0.79868,0.47715,1.7365,0.8351,0.00268,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,21839,1.2187,0.48917,0.00102,0.88292,0.74401,0.79822,0.47874,1.73408,0.83607,0.00267,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,22068.4,1.21132,0.48487,0.00101,0.87496,0.75034,0.79928,0.47923,1.73592,0.83665,0.00268,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,22305.6,1.20104,0.48369,0.001,0.87774,0.74862,0.79813,0.47859,1.73843,0.8356,0.00269,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,22542.6,1.19992,0.48291,0.00099,0.87394,0.75142,0.79968,0.47873,1.73873,0.8366,0.00268,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,22776.2,1.18726,0.47717,0.00099,0.88273,0.74789,0.80007,0.47754,1.73921,0.83972,0.00268,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,23010.4,1.18283,0.47537,0.00098,0.87598,0.7471,0.79817,0.47646,1.74192,0.8386,0.00268,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,23243.4,1.17939,0.47138,0.00096,0.87608,0.74761,0.79887,0.47672,1.74266,0.8386,0.00269,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,23475.7,1.17375,0.469,0.00096,0.87825,0.74722,0.79741,0.47649,1.744,0.83842,0.0027,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,23706,1.16406,0.46783,0.00095,0.876,0.74678,0.79708,0.47664,1.74419,0.84236,0.0027,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
